Parent Cell	Interaction Type	Daughter Cell	Cell Common Name	Daughter Cell (No common names)	Parent Cell Generation	Node_size	Emb Term	Apoptoses	Emb Term Blast
ABarapap	cc	ABarapapp		ABarapapp	8	157			
ABarappa	cc	ABarappaa		ABarappaa	8	157			
ABarappa	cc	ABarappap		ABarappap	8	157			
ABarappp	cc	ABarapppa		ABarapppa	8	157			
ABarappp	cc	ABarapppp		ABarapppp	8	157			
ABarpaaa	cc	ABarpaaaa		ABarpaaaa	8	157			
ABarpaaa	cc	ABarpaaap		ABarpaaap	8	157			
ABarpaap	cc	ABarpaapa		ABarpaapa	8	157			
ABarpaap	cc	ABarpaapp		ABarpaapp	8	157			
ABarpapa	cc	ABarpapaa		ABarpapaa	8	157			
ABarpapa	cc	ABarpapap		ABarpapap	8	157			
ABarpapp	cc	ABarpappa		ABarpappa	8	157			
ABarpapp	cc	ABarpappp		ABarpappp	8	157			
ABarppaa	cc	ABarppaaa		ABarppaaa	8	157			
ABarppaa	cc	ABarppaap		ABarppaap	8	157			
ABarppap	cc	ABarppapa		ABarppapa	8	157			
ABarppap	cc	ABarppapp		ABarppapp	8	157			
ABarpppa	cc	ABarpppaa		ABarpppaa	8	157			
ABarpppa	cc	ABarpppap		ABarpppap	8	157			
ABarpppp	cc	ABarppppa		ABarppppa	8	157			
ABarpppp	cc	ABarppppp		ABarppppp	8	157			
ABplaaaa	cc	ABplaaaaa		ABplaaaaa	8	157			
ABplaaaa	cc	ABplaaaap		ABplaaaap	8	157			
ABplaaap	cc	ABplaaapa		ABplaaapa	8	157			
ABplaaap	cc	ABplaaapp		ABplaaapp	8	157			
ABplaapa	cc	ABplaapaa		ABplaapaa	8	157			
ABplaapa	cc	ABplaapap		ABplaapap	8	157			
ABplaapp	cc	ABplaappa		ABplaappa	8	157			
ABplaapp	cc	ABplaappp		ABplaappp	8	157			
ABplapaa	cc	ABplapaaa		ABplapaaa	8	157			
ABplapaa	cc	ABplapaap		ABplapaap	8	157			
ABplapap	cc	ABplapapa		ABplapapa	8	157			
ABplapap	cc	ABplapapp		ABplapapp	8	157			
ABplappa	cc	ABplappaa		ABplappaa	8	157			
ABplappa	cc	ABplappap		ABplappap	8	157			
ABplappp	cc	ABplapppa		ABplapppa	8	157			
ABplappp	cc	ABplapppp		ABplapppp	8	157			
ABplpaaa	cc	ABplpaaaa		ABplpaaaa	8	157			
ABplpaaa	cc	ABplpaaap		ABplpaaap	8	157			
ABplpaap	cc	ABplpaapa		ABplpaapa	8	157			
ABplpaap	cc	ABplpaapp		ABplpaapp	8	157			
ABplpapa	cc	ABplpapaa		ABplpapaa	8	157			
ABplpapa	cc	ABplpapap		ABplpapap	8	157			
ABplpapp	cc	ABplpappa		ABplpappa	8	157			
ABplpapp	cc	ABplpappp		ABplpappp	8	157			
ABplppaa	cc	ABplppaaa		ABplppaaa	8	157			
ABplppaa	cc	ABplppaap		ABplppaap	8	157			
ABplppap	cc	ABplppapa		ABplppapa	8	157			
ABplppap	cc	ABplppapp		ABplppapp	8	157			
ABplpppa	cc	ABplpppaa		ABplpppaa	8	157			
ABplpppa	cc	ABplpppap		ABplpppap	8	157			
ABplpppp	cc	ABplppppa		ABplppppa	8	157			
ABplpppp	cc	ABplppppp		ABplppppp	8	157			
ABpraaaa	cc	ABpraaaaa		ABpraaaaa	8	157			
ABpraaaa	cc	ABpraaaap		ABpraaaap	8	157			
ABpraaap	cc	ABpraaapa		ABpraaapa	8	157			
ABpraaap	cc	ABpraaapp		ABpraaapp	8	157			
ABpraapa	cc	ABpraapaa		ABpraapaa	8	157			
ABpraapa	cc	ABpraapap		ABpraapap	8	157			
ABpraapp	cc	ABpraappa		ABpraappa	8	157			
ABpraapp	cc	ABpraappp		ABpraappp	8	157			
ABprapaa	cc	ABprapaaa		ABprapaaa	8	157			
ABprapaa	cc	ABprapaap		ABprapaap	8	157			
ABprapap	cc	ABprapapa		ABprapapa	8	157			
ABprapap	cc	ABprapapp		ABprapapp	8	157			
ABprappa	cc	ABprappaa		ABprappaa	8	157			
ABprappa	cc	ABprappap		ABprappap	8	157			
ABprappp	cc	ABprapppa		ABprapppa	8	157			
ABprappp	cc	ABprapppp		ABprapppp	8	157			
ABprpaaa	cc	ABprpaaaa		ABprpaaaa	8	157			
ABprpaaa	cc	ABprpaaap		ABprpaaap	8	157			
ABprpaap	cc	ABprpaapa		ABprpaapa	8	157			
ABprpaap	cc	ABprpaapp		ABprpaapp	8	157			
ABprpapa	cc	ABprpapaa		ABprpapaa	8	157			
ABprpapa	cc	ABprpapap		ABprpapap	8	157			
ABprpapp	cc	ABprpappa		ABprpappa	8	157			
ABprpapp	cc	ABprpappp		ABprpappp	8	157			
ABprppaa	cc	ABprppaaa		ABprppaaa	8	157			
ABprppaa	cc	ABprppaap		ABprppaap	8	157			
ABprppap	cc	ABprppapa		ABprppapa	8	157			
ABprppap	cc	ABprppapp		ABprppapp	8	157			
ABprpppa	cc	ABprpppaa		ABprpppaa	8	157			
ABprpppa	cc	ABprpppap		ABprpppap	8	157			
ABprpppp	cc	ABprppppa		ABprppppa	8	157			
ABprpppp	cc	ABprppppp		ABprppppp	8	157			
Caaaa	cc	Caaaaa (hyp 7)	hyp 7	Caaaaa	8	157	T		
Caaaa	cc	Caaaap (hyp 7)	hyp 7	Caaaap	8	157	T		
Caaap	cc	Caaapa (hyp 7)	hyp 7	Caaapa	8	157	T		
Caaap	cc	Caaapp (hyp 7)	hyp 7	Caaapp	8	157	T		
Caapa	cc	Caapaa (DVC)	DVC	Caapaa	8	157	T		
Caapa	cc	Caapap		Caapap	8	157	T	A	
Caapp	cc	Caappd (hyp 7)	hyp 7	Caappd	8	157	T		
Caapp	cc	Caappv (PVR)	PVR	Caappv	8	157	T		
Capaa	cc	Capaaa		Capaaa	8	157			
Capaa	cc	Capaap		Capaap	8	157			
Capap	cc	Capapa		Capapa	8	157			
Capap	cc	Capapp		Capapp	8	157			
Cappa	cc	Cappaa		Cappaa	8	157			
Cappa	cc	Cappap		Cappap	8	157			
Cappp	cc	Capppa		Capppa	8	157			
Cappp	cc	Capppp		Capppp	8	157			
Cpaaa	cc	Cpaaaa (hyp 7)	hyp 7	Cpaaaa	8	157	T		
Cpaaa	cc	Cpaaap (hyp 7)	hyp 7	Cpaaap	8	157	T		
Cpaap	cc	Cpaapa (hyp 7)	hyp 7	Cpaapa	8	157	T		
Cpaap	cc	Cpaapp (hyp 7)	hyp 7	Cpaapp	8	157	T		
Cpapa	cc	Cpapaa (hyp 7)	hyp 7	Cpapaa	8	157	T		
Cpapa	cc	Cpapap (hyp 7)	hyp 7	Cpapap	8	157	T		
Cpapp	cc	Cpappd (hyp 7)	hyp 7	Cpappd	8	157	T		
Cpapp	cc	Cpappv (hyp 11)	hyp 11	Cpappv	8	157	T		
Cppaa	cc	Cppaaa		Cppaaa	8	157			
Cppaa	cc	Cppaap		Cppaap	8	157			
Cppap	cc	Cppapa		Cppapa	8	157			
Cppap	cc	Cppapp		Cppapp	8	157			
Cpppa	cc	Cpppaa		Cpppaa	8	157			
Cpppa	cc	Cpppap		Cpppap	8	157			
Cpppp	cc	Cppppa		Cppppa	8	157			
Cpppp	cc	Cppppp		Cppppp	8	157			
Daaa	cc	Daaaa (body muscle)	body muscle	Daaaa	8	157	T		
Daaa	cc	Daaap (body muscle)	body muscle	Daaap	8	157	T		
Daap	cc	Daapa (body muscle)	body muscle	Daapa	8	157	T		
Daap	cc	Daapp (body muscle)	body muscle	Daapp	8	157	T		
Dapa	cc	Dapaa (body muscle)	body muscle	Dapaa	8	157	T		
Dapa	cc	Dapap (body muscle)	body muscle	Dapap	8	157	T		
Dapp	cc	Dappa		Dappa	8	157			
Dapp	cc	Dappp		Dappp	8	157			
Dpaa	cc	Dpaaa (body muscle)	body muscle	Dpaaa	8	157	T		
Dpaa	cc	Dpaap (body muscle)	body muscle	Dpaap	8	157	T		
Dpap	cc	Dpapa (body muscle)	body muscle	Dpapa	8	157	T		
Dpap	cc	Dpapp (body muscle)	body muscle	Dpapp	8	157	T		
Dppa	cc	Dppaa (body muscle)	body muscle	Dppaa	8	157	T		
Dppa	cc	Dppap (body muscle)	body muscle	Dppap	8	157	T		
Dppp	cc	Dpppa		Dpppa	8	157			
Dppp	cc	Dpppp		Dpppp	8	157			
Ealaa	cc	Ealaad (int1DL)	int1DL	Ealaad	8	157	T		
Ealaa	cc	Ealaav (int1VL)	int1VL	Ealaav	8	157	T		
Earaa	cc	Earaad (int1DR)	int1DR	Earaad	8	157	T		
Earaa	cc	Earaav (int1VR)	int1VR	Earaav	8	157	T		
Eplpp	cc	Eplppa (int8L)	int8L	Eplppa	8	157	T		
Eplpp	cc	Eplppp (int9L)	int9L	Eplppp	8	157	T		
Eprpp	cc	Eprppa (int8R)	int8R	Eprppa	8	157	T		
Eprpp	cc	Eprppp (int9R)	int9R	Eprppp	8	157	T		
MSaaaa	cc	MSaaaaa		MSaaaaa	8	157			
MSaaaa	cc	MSaaaap		MSaaaap	8	157			
MSaaap	cc	MSaaapa		MSaaapa	8	157			
MSaaap	cc	MSaaapp		MSaaapp	8	157			
MSaapa	cc	MSaapaa		MSaapaa	8	157			
MSaapa	cc	MSaapap		MSaapap	8	157			
MSaapp	cc	MSaappa		MSaappa	8	157			
MSaapp	cc	MSaappp		MSaappp	8	157			
MSapaa	cc	MSapaaa		MSapaaa	8	157			
MSapaa	cc	MSapaap		MSapaap	8	157			
MSapap	cc	MSapapa		MSapapa	8	157			
MSapap	cc	MSapapp		MSapapp	8	157			
MSappa	cc	MSappaa		MSappaa	8	157			
MSappa	cc	MSappap		MSappap	8	157			
MSappp	cc	MSapppa		MSapppa	8	157			
MSappp	cc	MSapppp		MSapppp	8	157			
MSpaaa	cc	MSpaaaa		MSpaaaa	8	157			
MSpaaa	cc	MSpaaap		MSpaaap	8	157			
MSpaap	cc	MSpaapa		MSpaapa	8	157			
MSpaap	cc	MSpaapp		MSpaapp	8	157	T	A	
